Sample in Buffer,Sample in Window,TRIGGER,dac_inst/in_clk,dac_inst/in_reset,dac_inst/in_sdo,dac_inst/p_0_in11_in,dac_inst/out_sclk,dac_inst/out_ss,dac_inst/out_sdio,dac_inst/out_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
280,280,0,0,1,0,1,1,1,0,ffff
281,281,0,0,1,0,1,1,1,0,ffff
282,282,0,0,1,0,1,1,1,0,ffff
283,283,0,0,1,0,1,1,1,0,ffff
284,284,0,0,1,0,1,1,1,0,ffff
285,285,0,0,1,0,1,1,1,0,ffff
286,286,0,0,1,0,1,1,1,0,ffff
287,287,0,0,1,0,1,1,1,0,ffff
288,288,0,0,1,0,1,1,1,0,ffff
289,289,0,0,1,0,1,1,1,0,ffff
290,290,0,0,1,0,1,1,1,0,ffff
291,291,0,0,1,0,1,1,1,0,ffff
292,292,0,0,1,0,1,1,1,0,ffff
293,293,0,0,1,0,1,1,1,0,ffff
294,294,0,0,1,0,1,1,1,0,ffff
295,295,0,0,1,0,1,1,1,0,ffff
296,296,0,0,1,0,1,1,1,0,ffff
297,297,0,0,1,0,1,1,1,0,ffff
298,298,0,0,1,0,1,1,1,0,ffff
299,299,0,0,1,0,1,1,1,0,ffff
300,300,0,0,1,0,1,1,1,0,ffff
301,301,0,0,1,0,1,1,1,0,ffff
302,302,0,0,1,0,1,1,1,0,ffff
303,303,0,0,1,0,1,1,1,0,ffff
304,304,0,0,1,0,1,1,1,0,ffff
305,305,0,0,1,0,1,1,1,0,ffff
306,306,0,0,1,0,1,1,1,0,ffff
307,307,0,0,1,0,1,1,0,0,ffff
308,308,0,0,1,0,1,1,0,0,ffff
309,309,0,0,1,0,1,1,0,0,ffff
310,310,0,0,1,0,1,0,0,0,0000
311,311,0,0,1,0,1,0,0,0,0000
312,312,0,0,1,0,1,0,0,0,0000
313,313,0,0,1,0,1,0,0,0,0000
314,314,0,0,1,0,1,0,0,0,0000
315,315,0,0,1,0,1,0,0,0,0000
316,316,0,0,1,0,1,1,0,0,0000
317,317,0,0,1,0,1,1,0,0,0000
318,318,0,0,1,0,1,1,0,0,0000
319,319,0,0,1,0,1,1,0,0,0000
320,320,0,0,1,0,1,1,0,0,0000
321,321,0,0,1,0,1,1,0,0,0000
322,322,0,0,1,0,1,0,0,0,0000
323,323,0,0,1,0,1,0,0,0,0000
324,324,0,0,1,0,1,0,0,0,0000
325,325,0,0,1,0,1,0,0,0,0000
326,326,0,0,1,0,1,0,0,0,0000
327,327,0,0,1,0,1,0,0,0,0000
328,328,0,0,1,0,1,1,0,0,0000
329,329,0,0,1,0,1,1,0,0,0000
330,330,0,0,1,0,1,1,0,0,0000
331,331,0,0,1,0,1,1,0,0,0000
332,332,0,0,1,0,1,1,0,0,0000
333,333,0,0,1,0,1,1,0,0,0000
334,334,0,0,1,0,1,0,0,0,0000
335,335,0,0,1,0,1,0,0,0,0000
336,336,0,0,1,0,1,0,0,0,0000
337,337,0,0,1,0,1,0,0,0,0000
338,338,0,0,1,0,1,0,0,0,0000
339,339,0,0,1,0,1,0,0,0,0000
340,340,0,0,1,0,1,1,0,0,0000
341,341,0,0,1,0,1,1,0,0,0000
342,342,0,0,1,0,1,1,0,0,ffff
343,343,0,0,1,0,1,1,0,0,ffff
344,344,0,0,1,0,1,1,0,0,ffff
345,345,0,0,1,0,1,1,0,0,ffff
346,346,0,0,1,0,1,0,0,0,ffff
347,347,0,0,1,0,1,0,0,0,ffff
348,348,0,0,1,0,1,0,0,0,ffff
349,349,0,0,1,0,1,0,0,0,ffff
350,350,0,0,1,0,1,0,0,0,ffff
351,351,0,0,1,0,1,0,0,0,ffff
352,352,0,0,1,0,1,1,0,0,ffff
353,353,0,0,1,0,1,1,0,0,ffff
